"State or other
geographic area",Beer,Wine,Spirits,All beverages,"U.S. decile for all beverages
"
Alabama.2009,1.20 ,0.22 ,0.58 ,2.01 ,9 
Alabama.2008,1.24 ,0.22 ,0.58 ,2.04 ,9 
Alabama.2007,1.24 ,0.22 ,0.56 ,2.02 ,9 
Alabama.2006,1.22 ,0.21 ,0.55 ,1.97 ,9 
Alabama.2005,1.18 ,0.20 ,0.53 ,1.91 ,9 
Alabama.2004,1.19 ,0.20 ,0.52 ,1.90 ,9 
Alabama.2003,1.18 ,0.19 ,0.52 ,1.89 ,9 
Alabama.2002,1.18 ,0.21 ,0.53 ,1.92 ,9 
Alabama.2001,1.16 ,0.17 ,0.53 ,1.86 ,9 
Alabama.2000,1.19 ,0.18 ,0.51 ,1.88 ,9 
Alabama.1999,1.18 ,0.17 ,0.51 ,1.87 ,9 
Alabama.1998,1.16 ,0.17 ,0.51 ,1.85 ,9 
Alabama.1997,1.14 ,0.15 ,0.52 ,1.81 ,9 
Alabama.1996,1.17 ,0.15 ,0.53 ,1.86 ,9 
Alabama.1995,1.14 ,0.15 ,0.53 ,1.81 ,9 
Alabama.1994,1.16 ,0.17 ,0.54 ,1.87 ,9 
Alabama.1993,1.14 ,0.17 ,0.56 ,1.86 ,9 
Alabama.1992,1.02 ,0.19 ,0.59 ,1.79 ,10 
Alabama.1991,1.00 ,0.17 ,0.59 ,1.76 ,10 
Alabama.1990,1.12 ,0.18 ,0.61 ,1.92 ,9 
Alabama.1989,1.10 ,0.17 ,0.60 ,1.87 ,9 
Alabama.1988,1.10 ,0.18 ,0.61 ,1.89 ,9 
Alabama.1987,1.10 ,0.18 ,0.61 ,1.89 ,9 
Alabama.1986,1.09 ,0.18 ,0.64 ,1.90 ,9 
Alabama.1985,1.06 ,0.17 ,0.67 ,1.90 ,9 
Alabama.1984,1.02 ,0.19 ,0.69 ,1.90 ,10 
Alabama.1983,1.01 ,0.17 ,0.71 ,1.89 ,10 
Alabama.1982,1.00 ,0.18 ,0.72 ,1.89 ,10 
Alabama.1981,1.00 ,0.19 ,0.73 ,1.92 ,10 
Alabama.1980,0.96 ,0.16 ,0.74 ,1.86 ,10 
Alabama.1979,0.98 ,0.12 ,0.84 ,1.94 ,10 
Alabama.1978,0.98 ,0.12 ,0.88 ,1.97 ,9 
Alabama.1977,0.99 ,0.13 ,0.84 ,1.96 ,9 
Alaska.2009,1.31 ,0.54 ,1.16 ,3.02 ,2 
Alaska.2008,1.20 ,0.49 ,1.09 ,2.77 ,2 
Alaska.2007,1.13 ,0.44 ,1.07 ,2.64 ,3 
Alaska.2006,1.24 ,0.46 ,1.02 ,2.73 ,2 
Alaska.2005,1.24 ,0.43 ,0.99 ,2.65 ,2 
Alaska.2004,1.32 ,0.45 ,0.96 ,2.73 ,2 
Alaska.2003,1.27 ,0.37 ,0.79 ,2.43 ,3 
Alaska.2002,1.36 ,0.43 ,1.08 ,2.87 ,1 
Alaska.2001,1.34 ,0.40 ,0.97 ,2.71 ,2 
Alaska.2000,1.35 ,0.37 ,0.92 ,2.63 ,2 
Alaska.1999,1.45 ,0.40 ,0.98 ,2.82 ,1 
Alaska.1998,1.37 ,0.39 ,0.98 ,2.74 ,1 
Alaska.1997,1.31 ,0.36 ,0.88 ,2.56 ,2 
Alaska.1996,1.31 ,0.38 ,0.94 ,2.63 ,2 
Alaska.1995,1.45 ,0.39 ,1.02 ,2.86 ,1 
Alaska.1994,1.53 ,0.40 ,1.10 ,3.03 ,1 
Alaska.1993,1.31 ,0.32 ,0.92 ,2.55 ,2 
Alaska.1992,1.53 ,0.41 ,1.08 ,3.02 ,1 
Alaska.1991,1.54 ,0.43 ,1.14 ,3.11 ,1 
Alaska.1990,1.62,0.46,1.25,3.33,1 
Alaska.1989,1.57 ,0.46 ,1.24 ,3.27 ,1 
Alaska.1988,1.60 ,0.49 ,1.23 ,3.32 ,1 
Alaska.1987,1.64 ,0.54 ,1.29 ,3.46 ,1 
Alaska.1986,1.68 ,0.56 ,1.27 ,3.51 ,1 
Alaska.1985,1.68 ,0.58 ,1.53 ,3.78 ,1 
Alaska.1984,1.73 ,0.58 ,1.56 ,3.86 ,1 
Alaska.1983,1.76 ,0.61 ,1.70 ,4.06 ,1 
Alaska.1982,1.75 ,0.56 ,1.74 ,4.05 ,1 
Alaska.1981,1.71 ,0.57 ,1.82 ,4.10 ,1 
Alaska.1980,1.55 ,0.50 ,1.70 ,3.76 ,1 
Alaska.1979,1.50 ,0.47 ,1.65 ,3.62 ,1 
Alaska.1978,1.39 ,0.45 ,1.68 ,3.52 ,2 
Alaska.1977,1.19 ,0.42 ,1.70 ,3.31 ,2 
Arizona.2009,1.19 ,0.38 ,0.74 ,2.31 ,7 
Arizona.2008,1.27 ,0.40 ,0.75 ,2.41 ,5 
Arizona.2007,1.36 ,0.33 ,0.76 ,2.45 ,5 
Arizona.2006,1.31 ,0.37 ,0.78 ,2.47 ,5 
Arizona.2005,1.33 ,0.39 ,0.74 ,2.47 ,3 
Arizona.2004,1.39 ,0.33 ,0.70 ,2.43 ,4 
Arizona.2003,1.41 ,0.37 ,0.71 ,2.48 ,3 
Arizona.2002,1.46 ,0.33 ,0.69 ,2.49 ,3 
Arizona.2001,1.47 ,0.33 ,0.70 ,2.50 ,3 
Arizona.2000,1.48 ,0.31 ,0.71 ,2.50 ,3 
Arizona.1999,1.47 ,0.34 ,0.69 ,2.51 ,2 
Arizona.1998,1.44 ,0.32 ,0.68 ,2.44 ,2 
Arizona.1997,1.45 ,0.31 ,0.68 ,2.44 ,2 
Arizona.1996,1.52 ,0.33 ,0.73 ,2.58 ,2 
Arizona.1995,1.47 ,0.29 ,0.68 ,2.44 ,3 
Arizona.1994,1.52 ,0.29 ,0.70 ,2.50 ,2 
Arizona.1993,1.58 ,0.27 ,0.76 ,2.62 ,2 
Arizona.1992,1.58 ,0.31 ,0.80 ,2.69 ,2 
Arizona.1991,1.58 ,0.35 ,0.78 ,2.71 ,2 
Arizona.1990,1.59 ,0.37 ,0.80 ,2.77 ,3 
Arizona.1989,1.68 ,0.36 ,0.85 ,2.89 ,2 
Arizona.1988,1.64 ,0.42 ,0.88 ,2.94 ,2 
Arizona.1987,1.67 ,0.46 ,0.86 ,2.99 ,2 
Arizona.1986,1.77 ,0.46 ,0.91 ,3.14 ,2 
Arizona.1985,1.67 ,0.46 ,1.00 ,3.12 ,2 
Arizona.1984,1.57 ,0.45 ,1.06 ,3.08 ,3 
Arizona.1983,1.62 ,0.44 ,1.00 ,3.06 ,3 
Arizona.1982,1.74 ,0.40 ,0.99 ,3.13 ,3 
Arizona.1981,1.78 ,0.42 ,1.01 ,3.22 ,3 
Arizona.1980,1.69 ,0.36 ,0.98 ,3.03 ,4 
Arizona.1979,1.86 ,0.39 ,1.17 ,3.42 ,2 
Arizona.1978,1.77 ,0.37 ,1.10 ,3.25 ,2 
Arizona.1977,1.70 ,0.34 ,1.05 ,3.10 ,3 
Arkansas.2009,1.07 ,0.17 ,0.60 ,1.83 ,10 
Arkansas.2008,1.11 ,0.17 ,0.60 ,1.88 ,10 
Arkansas.2007,1.07 ,0.17 ,0.60 ,1.84 ,10 
Arkansas.2006,1.07 ,0.17 ,0.59 ,1.82 ,10 
Arkansas.2005,1.05 ,0.16 ,0.58 ,1.79 ,10 
Arkansas.2004,1.07 ,0.15 ,0.58 ,1.80 ,10 
Arkansas.2003,1.06 ,0.14 ,0.56 ,1.76 ,10 
Arkansas.2002,1.07 ,0.14 ,0.53 ,1.73 ,10 
Arkansas.2001,1.06 ,0.13 ,0.53 ,1.72 ,10 
Arkansas.2000,1.09 ,0.12 ,0.53 ,1.74 ,10 
Arkansas.1999,1.09 ,0.12 ,0.54 ,1.75 ,10 
Arkansas.1998,1.10 ,0.11 ,0.51 ,1.73 ,10 
Arkansas.1997,1.08 ,0.12 ,0.52 ,1.71 ,10 
Arkansas.1996,1.10 ,0.12 ,0.53 ,1.75 ,9 
Arkansas.1995,1.08 ,0.12 ,0.51 ,1.70 ,10 
Arkansas.1994,1.06 ,0.13 ,0.46 ,1.65 ,10 
Arkansas.1993,1.10 ,0.11 ,0.58 ,1.79 ,9 
Arkansas.1992,1.13 ,0.12 ,0.65 ,1.90 ,9 
Arkansas.1991,1.12 ,0.11 ,0.58 ,1.81 ,9 
Arkansas.1990,1.12 ,0.13 ,0.61 ,1.86 ,9 
Arkansas.1989,1.08 ,0.13 ,0.57 ,1.78 ,9 
Arkansas.1988,1.07 ,0.14 ,0.53 ,1.74 ,10 
Arkansas.1987,1.08 ,0.11 ,0.53 ,1.71 ,10 
Arkansas.1986,1.06 ,0.09 ,0.48 ,1.63 ,10 
Arkansas.1985,1.03 ,0.13 ,0.58 ,1.75 ,10 
Arkansas.1984,1.02 ,0.12 ,0.64 ,1.78 ,10 
Arkansas.1983,1.03 ,0.13 ,0.63 ,1.78 ,10 
Arkansas.1982,1.03 ,0.12 ,0.63 ,1.78 ,10 
Arkansas.1981,1.06 ,0.12 ,0.68 ,1.87 ,10 
Arkansas.1980,1.00 ,0.12 ,0.69 ,1.81 ,10 
Arkansas.1979,0.93 ,0.10 ,0.57 ,1.60 ,10 
Arkansas.1978,0.97 ,0.11 ,0.73 ,1.82 ,10 
Arkansas.1977,0.92 ,0.10 ,0.63 ,1.65 ,10 
California.2009,1.05 ,0.55 ,0.73 ,2.33 ,6 
California.2008,1.07 ,0.55 ,0.72 ,2.34 ,6 
California.2007,1.07 ,0.55 ,0.72 ,2.34 ,6 
California.2006,1.05 ,0.54 ,0.70 ,2.29 ,6 
California.2005,1.02 ,0.53 ,0.68 ,2.23 ,6 
California.2004,1.06 ,0.51 ,0.67 ,2.24 ,6 
California.2003,1.06 ,0.50 ,0.65 ,2.22 ,6 
California.2002,1.07 ,0.49 ,0.63 ,2.20 ,6 
California.2001,1.08 ,0.48 ,0.64 ,2.20 ,6 
California.2000,1.07 ,0.48 ,0.64 ,2.19 ,6 
California.1999,1.10 ,0.46 ,0.62 ,2.18 ,6 
California.1998,1.10 ,0.45 ,0.61 ,2.17 ,6 
California.1997,1.12 ,0.50 ,0.62 ,2.24 ,5 
California.1996,1.11 ,0.49 ,0.64 ,2.24 ,5 
California.1995,1.14 ,0.45 ,0.64 ,2.23 ,4 
California.1994,1.09 ,0.47 ,0.68 ,2.24 ,5 
California.1993,1.17 ,0.48 ,0.69 ,2.35 ,4 
California.1992,1.28 ,0.51 ,0.75 ,2.54 ,3 
California.1991,1.22 ,0.49 ,0.75 ,2.46 ,4 
California.1990,1.32 ,0.59 ,0.87 ,2.78 ,2 
California.1989,1.31 ,0.61 ,0.87 ,2.79 ,2 
California.1988,1.34 ,0.68 ,0.89 ,2.90 ,2 
California.1987,1.36 ,0.74 ,0.93 ,3.03 ,2 
California.1986,1.36 ,0.79 ,0.96 ,3.11 ,2 
California.1985,1.32 ,0.78 ,1.02 ,3.12 ,2 
California.1984,1.38 ,0.74 ,1.07 ,3.19 ,2 
California.1983,1.37 ,0.75 ,1.11 ,3.23 ,2 
California.1982,1.37 ,0.72 ,1.14 ,3.23 ,3 
California.1981,1.43 ,0.72 ,1.21 ,3.36 ,2 
California.1980,1.42 ,0.71 ,1.25 ,3.38 ,2 
California.1979,1.42 ,0.70 ,1.28 ,3.40 ,2 
California.1978,1.36 ,0.68 ,1.32 ,3.36 ,2 
California.1977,1.31 ,0.67 ,1.28 ,3.25 ,2 
Colorado.2009,1.22 ,0.46 ,1.00 ,2.68 ,3 
Colorado.2008,1.27 ,0.46 ,1.01 ,2.75 ,2 
Colorado.2007,1.29 ,0.47 ,1.00 ,2.75 ,2 
Colorado.2006,1.27 ,0.45 ,0.97 ,2.69 ,3 
Colorado.2005,1.30 ,0.41 ,0.99 ,2.70 ,2 
Colorado.2004,1.30 ,0.43 ,0.95 ,2.68 ,2 
Colorado.2003,1.34 ,0.40 ,0.87 ,2.60 ,2 
Colorado.2002,1.35 ,0.39 ,0.90 ,2.64 ,2 
Colorado.2001,1.42 ,0.41 ,0.96 ,2.79 ,1 
Colorado.2000,1.35 ,0.37 ,0.89 ,2.60 ,2 
Colorado.1999,1.33 ,0.37 ,0.75 ,2.45 ,3 
Colorado.1998,1.33 ,0.37 ,0.83 ,2.53 ,2 
Colorado.1997,1.30 ,0.37 ,0.81 ,2.48 ,2 
Colorado.1996,1.36 ,0.37 ,0.84 ,2.57 ,2 
Colorado.1995,1.34 ,0.35 ,0.78 ,2.47 ,2 
Colorado.1994,1.36 ,0.35 ,0.84 ,2.55 ,2 
Colorado.1993,1.40 ,0.36 ,0.86 ,2.63 ,2 
Colorado.1992,1.34 ,0.36 ,0.81 ,2.52 ,3 
Colorado.1991,1.39 ,0.35 ,0.87 ,2.61 ,3 
Colorado.1990,1.35 ,0.29 ,0.75 ,2.39 ,6 
Colorado.1989,1.40 ,0.37 ,0.84 ,2.60 ,3 
Colorado.1988,1.42 ,0.39 ,0.91 ,2.72 ,3 
Colorado.1987,1.43 ,0.44 ,0.93 ,2.80 ,3 
Colorado.1986,1.47 ,0.46 ,0.94 ,2.87 ,3 
Colorado.1985,1.47 ,0.50 ,1.18 ,3.15 ,2 
Colorado.1984,1.51 ,0.46 ,1.12 ,3.09 ,2 
Colorado.1983,1.57 ,0.46 ,1.12 ,3.15 ,3 
Colorado.1982,1.64 ,0.46 ,1.18 ,3.28 ,2 
Colorado.1981,1.63 ,0.44 ,1.26 ,3.33 ,2 
Colorado.1980,1.57 ,0.47 ,1.31 ,3.35 ,2 
Colorado.1979,1.68 ,0.47 ,1.37 ,3.52 ,2 
Colorado.1978,1.64 ,0.47 ,1.43 ,3.54 ,1 
Colorado.1977,1.43 ,0.36 ,1.22 ,3.01 ,3 
Connecticut.2009,0.89 ,0.59 ,0.86 ,2.34 ,6 
Connecticut.2008,0.94 ,0.59 ,0.86 ,2.39 ,6 
Connecticut.2007,0.93 ,0.58 ,0.85 ,2.35 ,6 
Connecticut.2006,0.93 ,0.55 ,0.84 ,2.32 ,6 
Connecticut.2005,0.90 ,0.54 ,0.79 ,2.23 ,6 
Connecticut.2004,0.92 ,0.53 ,0.79 ,2.24 ,6 
Connecticut.2003,0.93 ,0.52 ,0.77 ,2.22 ,6 
Connecticut.2002,0.95 ,0.50 ,0.74 ,2.20 ,6 
Connecticut.2001,0.95 ,0.50 ,0.74 ,2.19 ,6 
Connecticut.2000,0.94 ,0.49 ,0.74 ,2.18 ,6 
Connecticut.1999,0.94 ,0.49 ,0.75 ,2.18 ,6 
Connecticut.1998,0.96 ,0.48 ,0.74 ,2.18 ,6 
Connecticut.1997,0.95 ,0.48 ,0.74 ,2.17 ,6 
Connecticut.1996,0.94 ,0.46 ,0.72 ,2.13 ,6 
Connecticut.1995,0.97 ,0.49 ,0.77 ,2.22 ,5 
Connecticut.1994,0.99 ,0.43 ,0.78 ,2.20 ,6 
Connecticut.1993,0.96 ,0.44 ,0.80 ,2.20 ,6 
Connecticut.1992,1.01 ,0.45 ,0.83 ,2.30 ,6 
Connecticut.1991,1.03 ,0.43 ,0.84 ,2.29 ,6 
Connecticut.1990,1.09 ,0.45 ,0.92 ,2.46 ,6 
Connecticut.1989,1.09 ,0.47 ,0.98 ,2.54 ,4 
Connecticut.1988,1.14 ,0.51 ,1.07 ,2.71 ,3 
Connecticut.1987,1.15 ,0.52 ,1.12 ,2.79 ,3 
Connecticut.1986,1.13 ,0.51 ,1.15 ,2.79 ,3 
Connecticut.1985,1.14 ,0.50 ,1.20 ,2.84 ,3 
Connecticut.1984,1.10 ,0.50 ,1.20 ,2.80 ,4 
Connecticut.1983,1.10 ,0.49 ,1.23 ,2.82 ,4 
